,,Accuracy,MACC
ORCL,BaseRNN,0.4067796610169492,-0.16678819876485512
ORCL,BaseLSTM,0.4576271186440678,0.0
PCG,BaseRNN,0.559322033898305,0.07917147290394855
PCG,BaseLSTM,0.6101694915254238,0.18909017578558648
PCLN,BaseRNN,0.5084745762711864,0.17802284561175208
PCLN,BaseLSTM,0.4745762711864407,0.0
PEP,BaseRNN,0.559322033898305,0.0
PEP,BaseLSTM,0.559322033898305,0.0
PFE,BaseRNN,0.4745762711864407,-0.04519195200678428
PFE,BaseLSTM,0.4915254237288136,0.018127844595300934
PG,BaseRNN,0.423728813559322,-0.13305773873521046
PG,BaseLSTM,0.4576271186440678,-0.04297588526078306
PICO,BaseRNN,0.5084745762711864,-0.04544445884145159
PICO,BaseLSTM,0.4745762711864407,-0.21997067253202995
PM,BaseRNN,0.4576271186440678,0.0
PM,BaseLSTM,0.4576271186440678,0.0
PPL,BaseRNN,0.4745762711864407,-0.0499105415841892
PPL,BaseLSTM,0.5084745762711864,0.12909944487358058
PTR,BaseRNN,0.559322033898305,0.0
PTR,BaseLSTM,0.559322033898305,0.0
RDS-B,BaseRNN,0.5932203389830508,0.0
RDS-B,BaseLSTM,0.5932203389830508,0.0
REX,BaseRNN,0.6101694915254238,0.22108665799823285
REX,BaseLSTM,0.6101694915254238,0.22700461102727662
SLB,BaseRNN,0.559322033898305,0.0
SLB,BaseLSTM,0.559322033898305,0.0
SNP,BaseRNN,0.4745762711864407,-0.04882813425200191
SNP,BaseLSTM,0.5254237288135594,0.07023821120100268
SNY,BaseRNN,0.4745762711864407,0.0037325445134507957
SNY,BaseLSTM,0.5254237288135594,0.17764627141368314
SO,BaseRNN,0.4915254237288136,-0.10680917396691054
SO,BaseLSTM,0.576271186440678,0.09415184057386945
SPLP,BaseRNN,0.559322033898305,0.11782167845915038
SPLP,BaseLSTM,0.559322033898305,0.02861267135217312
SRE,BaseRNN,0.4406779661016949,-0.0666472388164314
SRE,BaseLSTM,0.4406779661016949,0.0
T,BaseRNN,0.423728813559322,-0.14117613516948596
T,BaseLSTM,0.423728813559322,-0.20392509677383266
TM,BaseRNN,0.6271186440677966,0.2523041474654378
TM,BaseLSTM,0.5932203389830508,0.17986826747071374
TOT,BaseRNN,0.6440677966101694,0.20593887885143625
