,,Accuracy,MACC
HON,StockLSTM,0.5084745762711864,0.0112319381220755
HON,StockSentimentRNN,0.4576271186440678,-0.09361243255662009
HRG,StockRNN,0.559322033898305,0.11967786980386264
HRG,StockLSTM,0.4576271186440678,-0.13117213790944116
HRG,StockSentimentRNN,0.559322033898305,0.10745098666595096
HSBC,StockRNN,0.5932203389830508,0.20393592560201862
HSBC,StockLSTM,0.6101694915254238,0.26113088619981106
HSBC,StockSentimentRNN,0.5423728813559322,0.13816175285055887
IEP,StockRNN,0.5932203389830508,0.14689595494233862
IEP,StockLSTM,0.6271186440677966,0.2661077949801689
IEP,StockSentimentRNN,0.576271186440678,0.10470490509239823
INTC,StockRNN,0.4915254237288136,-0.013071362426621866
INTC,StockLSTM,0.423728813559322,-0.1545568652833494
INTC,StockSentimentRNN,0.423728813559322,-0.15849512683373204
JNJ,StockRNN,0.5423728813559322,0.05635435216671452
JNJ,StockLSTM,0.559322033898305,0.10286016413334878
JNJ,StockSentimentRNN,0.5084745762711864,0.05059646664192247
JPM,StockRNN,0.5084745762711864,0.051387023098543955
JPM,StockLSTM,0.5423728813559322,0.12163926069210197
JPM,StockSentimentRNN,0.5084745762711864,0.051387023098543955
KO,StockRNN,0.5084745762711864,0.0031753232842131177
KO,StockLSTM,0.5084745762711864,0.0
KO,StockSentimentRNN,0.5254237288135594,0.1335511498692213
LMT,StockRNN,0.4745762711864407,-0.04959660602376137
LMT,StockLSTM,0.4745762711864407,-0.0659198682467677
LMT,StockSentimentRNN,0.423728813559322,-0.15698735753545087
MA,StockRNN,0.6101694915254238,0.23912109069905926
MA,StockLSTM,0.5423728813559322,0.1224620442481467
MA,StockSentimentRNN,0.6101694915254238,0.296564709564789
MCD,StockRNN,0.423728813559322,0.0
MCD,StockLSTM,0.423728813559322,0.0
MCD,StockSentimentRNN,0.423728813559322,0.0
MDT,StockRNN,0.4745762711864407,-0.09231515041269134
MDT,StockLSTM,0.4915254237288136,-0.05570860145311556
MDT,StockSentimentRNN,0.4915254237288136,-0.05570860145311556
MMM,StockRNN,0.4576271186440678,-0.10640706634484356
MMM,StockLSTM,0.5084745762711864,-0.010963225241337865
MMM,StockSentimentRNN,0.4745762711864407,-0.0751227496729687
MO,StockRNN,0.4576271186440678,-0.19051939705278706
MO,StockLSTM,0.4915254237288136,0.0
MO,StockSentimentRNN,0.423728813559322,-0.20951337690646785
MRK,StockRNN,0.559322033898305,0.1634848485114536
MRK,StockLSTM,0.5084745762711864,0.005703586973049607
MRK,StockSentimentRNN,0.5084745762711864,0.0
MSFT,StockRNN,0.4576271186440678,0.0
MSFT,StockLSTM,0.4745762711864407,0.12061266016925193
MSFT,StockSentimentRNN,0.4745762711864407,0.12061266016925193
NEE,StockRNN,0.5932203389830508,0.0511766315719159
NEE,StockLSTM,0.5932203389830508,0.0
NEE,StockSentimentRNN,0.576271186440678,-0.10873205644391247
NGG,StockRNN,0.5254237288135594,0.08270582411605847
NGG,StockLSTM,0.5254237288135594,0.18416875048436082
NGG,StockSentimentRNN,0.5084745762711864,0.035410711589825554
NVS,StockRNN,0.3389830508474576,-0.2921620103837433
NVS,StockLSTM,0.3389830508474576,-0.3256694736394648
NVS,StockSentimentRNN,0.3389830508474576,-0.2921620103837433
ORCL,StockRNN,0.4576271186440678,-0.04297588526078306
ORCL,StockLSTM,0.4576271186440678,0.0
ORCL,StockSentimentRNN,0.3898305084745763,-0.23242997399315243
PCG,StockRNN,0.5084745762711864,-0.018127844595300934
PCG,StockLSTM,0.576271186440678,0.1479300142792815
PCG,StockSentimentRNN,0.5932203389830508,0.1627357845522756
PCLN,StockRNN,0.5254237288135594,0.21997067253202995
PCLN,StockLSTM,0.4745762711864407,0.0
PCLN,StockSentimentRNN,0.4915254237288136,0.06546746206310415
PEP,StockRNN,0.559322033898305,0.0
PEP,StockLSTM,0.559322033898305,0.0
PEP,StockSentimentRNN,0.559322033898305,0.0
PFE,StockRNN,0.4915254237288136,0.009491419630844785
PFE,StockLSTM,0.5084745762711864,0.06911795253519318
PFE,StockSentimentRNN,0.5423728813559322,0.038329089686267526
PG,StockRNN,0.4915254237288136,0.004769698391934521
PG,StockLSTM,0.5084745762711864,0.043355498476206
PG,StockSentimentRNN,0.5423728813559322,0.05635435216671452
PICO,StockRNN,0.576271186440678,0.16320522265068857
PICO,StockLSTM,0.5084745762711864,-0.04544445884145159
PICO,StockSentimentRNN,0.576271186440678,0.21095725272033836
PM,StockRNN,0.4406779661016949,-0.14294833797837264
PM,StockLSTM,0.4576271186440678,0.0
PM,StockSentimentRNN,0.4576271186440678,0.0
PPL,StockRNN,0.4745762711864407,-0.04882813425200191
PPL,StockLSTM,0.559322033898305,0.17306959490952975
PPL,StockSentimentRNN,0.5932203389830508,0.2441163861316764
PTR,StockRNN,0.4915254237288136,0.14751385842355658
PTR,StockLSTM,0.4406779661016949,0.0
PTR,StockSentimentRNN,0.4576271186440678,0.024931919733558856
RDS-B,StockRNN,0.3559322033898305,-0.22373280323606382
RDS-B,StockLSTM,0.4067796610169492,0.0
RDS-B,StockSentimentRNN,0.3559322033898305,-0.24357710482816866
REX,StockRNN,0.5423728813559322,0.08305371808399224
REX,StockLSTM,0.576271186440678,0.15162402647218715
REX,StockSentimentRNN,0.559322033898305,0.11839080459770115
SLB,StockRNN,0.4576271186440678,-0.06791643585834789
SLB,StockLSTM,0.4915254237288136,0.009491419630844785
SLB,StockSentimentRNN,0.3728813559322034,-0.3038218101251
SNP,StockRNN,0.4576271186440678,-0.08305371808399224
SNP,StockLSTM,0.4915254237288136,-0.03995527512378202
SNP,StockSentimentRNN,0.4406779661016949,-0.14993156621752496
SNY,StockRNN,0.4576271186440678,0.007221393146897689
SNY,StockLSTM,0.3898305084745763,-0.17806145667420892
SNY,StockSentimentRNN,0.5084745762711864,0.14628495133650038
SO,StockRNN,0.5084745762711864,-0.06015256481108327
SO,StockLSTM,0.4745762711864407,-0.12120864305257124
SO,StockSentimentRNN,0.423728813559322,-0.22395267080704775
